name,id,tags,planetary,decivRemove,script,desc,icon,order
Pollution,pollution,,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"Die menschliche Industrie hat diese Welt mit Dioxinen, Schwefelverbindungen, Asche und dem ständigen Ticken von zerfallendem radioaktivem Staub überzogen. Plastikfetzen kleben an Scherben von Schaumstoff, der Himmel ist auf einen toten Kanal eingestellt.",graphics/icons/markets/pollution.png,110
,,,,,,,,
,,,,,,,,
Spärliche Erzvorkommen,ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Hier gibt es einige spärliche Erzvorkommen, die jedoch eher von akademischem als von industriellem Interesse sind, da ihr Abbau kaum wirtschaftlich ist.",graphics/icons/markets/ore_sparse.png,50
Mäßige Erzvorkommen,ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market enthält mäßige Erzvorkommen, die unter den richtigen wirtschaftlichen Bedingungen gewinnbringend abgebaut werden könnten.",graphics/icons/markets/ore_moderate.png,50
Reichhaltige Erzvorkommen,ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Reichlich vorhandene, weit verbreitete und gewinnbringend abbaubare Erzvorkommen finden sich auf $market.",graphics/icons/markets/ore_abundant.png,50
Reiche Erzvorkommen,ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Reiche Mineralienvorkommen bilden ein dickes Gitter in der Kruste von $market, aber es bedarf eines ehrgeizigen Industriellen, um sie für märchenhaften Profit auszubeuten.",graphics/icons/markets/ore_rich.png,50
Ultrareiche Erzlagerstätten,ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Auf $market gibt es Bodenschätze, die die kühnsten Fantasien der legendären Bergbau-Megakonzerne der Domain-Ära übertreffen.",graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,,
,,,,,,,,
Spärliche Seltene Erzlagerstätten,rare_ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Hier gibt es einige spärliche transplutonische Erzvorkommen, die jedoch eher von akademischem als von industriellem Interesse sind, da ihr Abbau kaum wirtschaftlich ist.",graphics/icons/markets/rareore_sparse.png,60
Mäßige Seltene Erzlagerstätten,rare_ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market verfügt über bescheidene transplutonische Vorkommen, die mit nachhaltiger Industrie und Investitionen gewinnbringend erschlossen werden könnten.",graphics/icons/markets/rareore_moderate.png,60
Seltene Erzvorkommen im Überfluss,rare_ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"In der Kruste von $market gab es reichlich transplutonische Vorkommen, genug, um die Ambitionen eines jeden lohnenden Kriegsherrn oder Magnaten zu befriedigen.",graphics/icons/markets/rareore_abundant.png,60
Reiche Seltene-Erz-Lagerstätten,rare_ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Dicke Bänder von Transplutonics breiteten sich mit glorreicher Fülle in der Kruste von $market aus und versprachen große und mächtige Macht für diejenigen, die sie nur ausstrecken und nehmen würden.",graphics/icons/markets/rareore_rich.png,60
Ultrareiche Seltene-Erz-Lagerstätten,rare_ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Die transplutonischen Ablagerungen, die mit unglaublicher Dichte auf dem Sensorgitter schimmern, lassen eine Macht erahnen, die mächtige Kriegsflotten schmieden könnte, um Welten in Schutt und Asche zu legen - oder eine Ära der Pracht und des Reichtums für ein Volk von Kristalltürmen, wie es sie in den Zyklen vor dem Kollaps der Domain gab.",graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,,
,,,,,,,,
Spuren von flüchtigen Stoffen,volatiles_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Die hier gefundenen Spuren von flüchtigen Stoffen rechtfertigen kaum eine Ernte.,graphics/icons/markets/volatiles_trace.png,40
Diffuse flüchtige Stoffe,volatiles_diffuse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Hier sind diffuse flüchtige Stoffe zu finden, die für eine industrielle Extraktion ausreichen können.",graphics/icons/markets/volatiles_diffuse.png,40
Reichlich vorhandene flüchtige Stoffe,volatiles_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Aus $market. können reichlich flüchtige Stoffe wirtschaftlich extrahiert werden,graphics/icons/markets/volatiles_abundant.png,40
Reichlich flüchtige Stoffe,volatiles_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market ist ein weltweiter Quell von flüchtigen Stoffen - reich, tief und stark.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,,
,,,,,,,,
Organische Spurenelemente,organics_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"In $Market gibt es fast keine organischen Reserven mehr, obwohl ein gewisser Abbau möglich ist.",graphics/icons/markets/organics_trace.png,38
Gemeinsame organische Stoffe,organics_common,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Wirtschaftlich verwertbare Reserven an organischen Stoffen sind auf $market. zu finden.,graphics/icons/markets/organics_common.png,38
Reichhaltige Organika,organics_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Unter der Oberfläche von $market fließt ein Fluss des Reichtums - für diejenigen, die ihn finden und anzapfen wollen.",graphics/icons/markets/organics_abundant.png,38
Reichlich Organisches,organics_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Reserven an wertvollen organischen Stoffen durchbrechen die Oberfläche von $market in Güssen über tiefen, dunklen Becken, die Ozeane von Reichtum versprechen, die direkt darunter zu finden sind.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,,
,,,,,,,,
Armes Ackerland,farmland_poor,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Die terranische Pflanzenwelt wächst hier nur kümmerlich und mühsam. Es bräuchte Bauern, deren Talent ihrer Verzweiflung entspricht, um dieses Land fruchtbar zu machen.",graphics/icons/markets/farmland_poor.png,70
Angemessenes Ackerland,farmland_adequate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Eine robuste, terran-kompatible Biosphäre ermöglicht den landwirtschaftlichen Anbau auf $market.",graphics/icons/markets/farmland_adequate.png,70
Reiches Ackerland,farmland_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Die Felder von $market versprechen eine reiche Ernte zur Belohnung der Bauern, die dieses fruchtbare Land bearbeiten.",graphics/icons/markets/farmland_rich.png,70
Fruchtbares Ackerland,farmland_bountiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market ist ein wahrer Garten Eden: blühend, üppig, üppig und leuchtend voller Pflanzen. Die Äste hängen tief und sind mit Früchten beladen; Felder mit goldenem Getreide schimmern in der krautigen Brise.",graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,,
Orbitales Solarmodul,solar_array,"show_in_planet_list, planet_search",TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"Dieser Planet verfügt über eine Reihe von Sonnenschirmen oder Spiegeln im Orbit, die so positioniert sind, dass sie die Oberflächenbedingungen den terranischen Normen annähern.",graphics/icons/markets/solar_shade.png,101
